
Time_us,Sample
4398664,2025
4401260,1986
4403764,2037
4406256,2048
4408764,1972
4411256,2064
4413764,2059
4416340,1976
4418764,1966
4421352,2043
4423864,2038
4426356,2008
4428860,2015
4431360,2070
4433864,1985
4436360,2041
4438864,2019
4441360,2019
4443864,1972
4446364,2024
4448940,1997
4451364,2007
4453952,1978
4456464,2027
4458956,2027
4461456,2080
4463968,2032
4466556,2083
4469056,2050
4471468,1988
4474064,1984
4476556,2047
4479064,2002
4481652,1963
4484160,1995
4486664,1989
4489156,2050
4491664,1965
4494168,1986
4496668,2003
4499156,1985
4501664,2031
4504156,2004
4506664,1993
4509252,2092
4511660,2001
4514156,2055
4516660,1999
4519252,2078
4521756,1998
4524256,2000
4526664,2000
4529256,2023
4531668,2029
4534252,2037
4536764,1966
4539256,2019
4541764,1969
4544252,2050
4546752,2016
4549256,2011
4551664,1993
4554168,1976
4556656,2026
4559252,2014
4561664,2025
4564256,2040
4566668,2019
4569260,2033
4571756,2085
4574164,2013
4576664,2042
4579252,2029
4581752,2051
4584256,2007
4586756,2023
4589260,2033
4591756,2086
4594260,2040
4596852,2023
4599264,2061
4601764,1959
4604360,2025
4606864,2045
4609364,2037
4611864,2012
4614456,2025
4616960,1999
4619456,1984
4621868,2096
4624460,2023
4626940,1991
4629456,2001
4631964,1987
4634456,2036
4636964,2071
4639552,2016
4642052,2008
4644460,2092
4646968,2039
4649552,2066
4652064,1992
4654556,2055
4657060,2082
4659652,2022
4662156,2046
4664560,2009
4667064,1987
4669560,2024
4672064,2011
4674556,2023
4677064,2070
4679556,1995
4682152,2040
4684656,2045
4687156,2009
4689564,1980
4692068,2038
4694652,1996
4697064,2014
4699564,2054
4702056,2059
4704640,2060
4707060,1992
4709652,2039
4712160,2007
4714656,2051
4717160,1995
4719660,2009
4722164,2058
4724656,2008
4727164,2062
4729740,1985
4732240,1992
4734660,2014
4737160,2004
4739664,2005
4742164,1994
4744664,1985
4747252,2053
4749764,2002
4752256,2065
4754764,2076
4757340,2063
4759840,2027
4762356,1977
4764856,2066
4767264,1958
4769860,1995
4772364,1999
4774856,2057
4777364,2067
4779952,2084
4782464,2024
4784956,2029
4787464,2002
4790052,2031
4792556,1985
4794968,2025
4797560,1975
4800056,1980
4802556,1968
4805064,1981
4807556,1981
4810140,2007
4812656,1973
4815156,1990
4817660,2078
4820160,2030
4822660,2033
4825160,2020
4827652,2060
4830156,1981
4832656,2010
4835156,2072
4837752,2001
4840256,2037
4842756,2046
4845260,2033
4847760,2030
4850264,1993
4852760,1993
4855264,2025
4857756,1966
4860264,1971
4862852,1989
4865356,2012
4867764,2037
4870360,2035
4872852,2064
4875364,1939
4877856,2038
4880356,2045
4882868,2052
4885456,1989
4887964,2031
4890456,2021
4892956,2015
4895368,1969
4897864,1987
4900368,2071
4902960,2049
4905456,2035
4907864,2021
4910368,2031
4912956,1991
4915456,1968
4917864,2074
4920456,1990
4922868,2019
4925356,2071
4927952,2003
4930360,2016
4932952,1954
4935364,2050
4937956,2047
4940364,1997
4942960,1983
4945464,2031
4947956,1985
4950464,2035
4953052,1990
4955560,1999
4958056,1979
4960460,2043
4962964,1983
4965552,2040
4967964,2058
4970540,1971
4973060,1980
4975564,1986
4978064,2031
4980564,1997
4983160,2026
4985652,2049
4988152,2016
4990656,2076
4993156,1965
4995564,2047
4998160,2055
5000660,2026
5003164,2004
5005664,2029
5008252,2035
5010752,2038
5013256,1974
5015756,1981
5018260,1996
5020748,2075
5023260,1994
5025752,1979
5028252,2002
5030660,2036
5033252,2022
5035760,1999
